,Product,Year,Month,Price Mean,Volume kg,Avg Weight,Penetración (%),Per Capita Consum,P_origen,Value,Cases,Deaths,Cases + Deaths
154,AJO,2018,5,1.6975923858717947,2681.02,4.05,36.57,0.06,Greece,90,0.0,0.0,0.0
155,AJO,2018,5,1.6975923858717947,2681.02,4.05,36.57,0.06,Hungary,12,0.0,0.0,0.0
156,AJO,2018,5,1.6975923858717947,2681.02,4.05,36.57,0.06,Ireland,532,0.0,0.0,0.0
157,AJO,2018,5,1.6975923858717947,2681.02,4.05,36.57,0.06,Italy,8559,0.0,0.0,0.0
158,AJO,2018,5,1.6975923858717947,2681.02,4.05,36.57,0.06,Latvia,386,0.0,0.0,0.0
159,AJO,2018,5,1.6975923858717947,2681.02,4.05,36.57,0.06,Lithuania,40,0.0,0.0,0.0
160,AJO,2018,5,1.6975923858717947,2681.02,4.05,36.57,0.06,Luxembourg,0,0.0,0.0,0.0
161,AJO,2018,5,1.6975923858717947,2681.02,4.05,36.57,0.06,Malta,160,0.0,0.0,0.0
162,AJO,2018,5,1.6975923858717947,2681.02,4.05,36.57,0.06,Netherlands,2223,0.0,0.0,0.0
163,AJO,2018,5,1.6975923858717947,2681.02,4.05,36.57,0.06,Poland,3376,0.0,0.0,0.0
164,AJO,2018,5,1.6975923858717947,2681.02,4.05,36.57,0.06,Portugal,14150,0.0,0.0,0.0
165,AJO,2018,5,1.6975923858717947,2681.02,4.05,36.57,0.06,Romania,0,0.0,0.0,0.0
166,AJO,2018,5,1.6975923858717947,2681.02,4.05,36.57,0.06,Slovakia,524,0.0,0.0,0.0
167,AJO,2018,5,1.6975923858717947,2681.02,4.05,36.57,0.06,Slovenia,51,0.0,0.0,0.0
168,AJO,2018,5,1.6975923858717947,2681.02,4.05,36.57,0.06,Spain,0,0.0,0.0,0.0
169,AJO,2018,5,1.6975923858717947,2681.02,4.05,36.57,0.06,Sweden,1186,0.0,0.0,0.0
170,AJO,2018,6,1.629284606297619,3355.8,3.94,31.24,0.07,Austria,787,0.0,0.0,0.0
171,AJO,2018,6,1.629284606297619,3355.8,3.94,31.24,0.07,Belgium,1610,0.0,0.0,0.0
172,AJO,2018,6,1.629284606297619,3355.8,3.94,31.24,0.07,Bulgaria,0,0.0,0.0,0.0
173,AJO,2018,6,1.629284606297619,3355.8,3.94,31.24,0.07,Croatia,104,0.0,0.0,0.0
174,AJO,2018,6,1.629284606297619,3355.8,3.94,31.24,0.07,Cyprus,0,0.0,0.0,0.0
175,AJO,2018,6,1.629284606297619,3355.8,3.94,31.24,0.07,Czechia,3931,0.0,0.0,0.0
176,AJO,2018,6,1.629284606297619,3355.8,3.94,31.24,0.07,Denmark,571,0.0,0.0,0.0
177,AJO,2018,6,1.629284606297619,3355.8,3.94,31.24,0.07,Estonia,0,0.0,0.0,0.0
178,AJO,2018,6,1.629284606297619,3355.8,3.94,31.24,0.07,Finland,314,0.0,0.0,0.0
179,AJO,2018,6,1.629284606297619,3355.8,3.94,31.24,0.07,France,20676,0.0,0.0,0.0
180,AJO,2018,6,1.629284606297619,3355.8,3.94,31.24,0.07,Germany,7556,0.0,0.0,0.0
181,AJO,2018,6,1.629284606297619,3355.8,3.94,31.24,0.07,Greece,70,0.0,0.0,0.0
182,AJO,2018,6,1.629284606297619,3355.8,3.94,31.24,0.07,Hungary,11,0.0,0.0,0.0
183,AJO,2018,6,1.629284606297619,3355.8,3.94,31.24,0.07,Ireland,629,0.0,0.0,0.0
184,AJO,2018,6,1.629284606297619,3355.8,3.94,31.24,0.07,Italy,12919,0.0,0.0,0.0
185,AJO,2018,6,1.629284606297619,3355.8,3.94,31.24,0.07,Latvia,455,0.0,0.0,0.0
186,AJO,2018,6,1.629284606297619,3355.8,3.94,31.24,0.07,Lithuania,0,0.0,0.0,0.0
187,AJO,2018,6,1.629284606297619,3355.8,3.94,31.24,0.07,Luxembourg,0,0.0,0.0,0.0
188,AJO,2018,6,1.629284606297619,3355.8,3.94,31.24,0.07,Malta,126,0.0,0.0,0.0
189,AJO,2018,6,1.629284606297619,3355.8,3.94,31.24,0.07,Netherlands,2189,0.0,0.0,0.0
190,AJO,2018,6,1.629284606297619,3355.8,3.94,31.24,0.07,Poland,5220,0.0,0.0,0.0
191,AJO,2018,6,1.629284606297619,3355.8,3.94,31.24,0.07,Portugal,9013,0.0,0.0,0.0
192,AJO,2018,6,1.629284606297619,3355.8,3.94,31.24,0.07,Romania,230,0.0,0.0,0.0
193,AJO,2018,6,1.629284606297619,3355.8,3.94,31.24,0.07,Slovakia,473,0.0,0.0,0.0
194,AJO,2018,6,1.629284606297619,3355.8,3.94,31.24,0.07,Slovenia,31,0.0,0.0,0.0
195,AJO,2018,6,1.629284606297619,3355.8,3.94,31.24,0.07,Spain,0,0.0,0.0,0.0
196,AJO,2018,6,1.629284606297619,3355.8,3.94,31.24,0.07,Sweden,1081,0.0,0.0,0.0
197,AJO,2018,7,1.6021270301571429,4246.59,3.5,31.84,0.09,Austria,479,0.0,0.0,0.0
198,AJO,2018,7,1.6021270301571429,4246.59,3.5,31.84,0.09,Belgium,1480,0.0,0.0,0.0
199,AJO,2018,7,1.6021270301571429,4246.59,3.5,31.84,0.09,Bulgaria,460,0.0,0.0,0.0
200,AJO,2018,7,1.6021270301571429,4246.59,3.5,31.84,0.09,Croatia,244,0.0,0.0,0.0
201,AJO,2018,7,1.6021270301571429,4246.59,3.5,31.84,0.09,Cyprus,0,0.0,0.0,0.0
202,AJO,2018,7,1.6021270301571429,4246.59,3.5,31.84,0.09,Czechia,3043,0.0,0.0,0.0
203,AJO,2018,7,1.6021270301571429,4246.59,3.5,31.84,0.09,Denmark,801,0.0,0.0,0.0
204,AJO,2018,7,1.6021270301571429,4246.59,3.5,31.84,0.09,Estonia,0,0.0,0.0,0.0
